Variable,Variable_Code,type,n,test,statistic,p_value,effect_size,effect_size_name,group_stats,n_categories,or,or_ci_low,or_ci_high,sig,p_formatted
Breastfeeding on Day 1,ilk_gün_emzirme_111,categorical,1064,Chi-square,29.342936941526258,4.248760019273866e-07,0.16606609603803588,Cramér's V,,2.0,1.8416666666666666,1.3923381266785273,2.4360003120809592,***,<0.001
Breast milk intake on Day 2 (cc),beslenme2.gunannesutucc,continuous,1064,Kruskal-Wallis,29.08663982269238,4.829658395587788e-07,0.027362784405166866,ε²,"{1: {'mean': 78.94243641231593, 'sd': 121.32614258691771, 'median': 22.0, 'n': 747}, 2: {'mean': 61.417857142857144, 'sd': 95.26199697191055, 'median': 19.5, 'n': 280}, 3: {'mean': 18.81081081081081, 'sd': 50.77446746689271, 'median': 0.0, 'n': 37}}",,,,,***,<0.001
Breast milk volume at discharge (cc),aldığıannesütü_taburculuk,continuous,1064,Kruskal-Wallis,27.57707412540183,1.0273405730113058e-06,0.025942684972156002,ε²,"{1: {'mean': 220.2777108433735, 'sd': 197.87217314554937, 'median': 240.0, 'n': 747}, 2: {'mean': 186.45, 'sd': 142.20991728243402, 'median': 166.5, 'n': 280}, 3: {'mean': 66.94594594594595, 'sd': 147.98572490201474, 'median': 0.0, 'n': 37}}",,,,,***,<0.001
Breast pump brand,Kullandıgıpompamarkasi,categorical,1064,Chi-square,57.35718757662377,1.449688311838894e-06,0.16417541104111386,Cramér's V,,9.0,,,,***,<0.001
Lactation support volume (cc),sutdestegivarsakacolcek,categorical,1064,Chi-square,37.48258190916859,4.6682797972811416e-05,0.13271772774602475,Cramér's V,,6.0,,,,***,<0.001
Feeding resilience index,eng_resilience_index,continuous,1064,Kruskal-Wallis,15.825849979858202,0.0003659825182934866,0.01488791155207733,ε²,"{1: {'mean': 0.06917720368274335, 'sd': 0.061014968550661276, 'median': 0.07665505223809929, 'n': 747}, 2: {'mean': 0.08750686030978586, 'sd': 0.0862006856700423, 'median': 0.08564402806634028, 'n': 280}, 3: {'mean': 0.11067116245642049, 'sd': 0.08884512465255816, 'median': 0.08119402982650925, 'n': 37}}",,,,,***,<0.001
Breast pump type,Kullandıgpompatipi,categorical,1064,Chi-square,19.328761634172874,0.0006772490198038623,0.09530511359687274,Cramér's V,,3.0,,,,***,<0.001
Lactation support present at discharge,taburculukrtasutdestegivarmı,categorical,1063,Chi-square,18.93897727329774,0.0008079394391688353,0.09438362022781516,Cramér's V,,3.0,,,,***,<0.001
Lactation support at initiation,baslangictasutdestegi,categorical,1064,Chi-square,14.036321734339216,0.000895470869226512,0.11485657014383649,Cramér's V,,2.0,3.0912162162162162,1.6608809457948313,5.753342959103647,***,<0.001
Tube feeding on Day 2,eng_tube_d2,categorical,1064,Chi-square,12.81426089506219,0.0016497517655133203,0.10974278238149826,Cramér's V,,2.0,1.7324729448141427,1.2391365129173608,2.4222210169939187,**,0.0016
Diagnosis (grouped),tanı_gruplu,categorical,1064,Chi-square,65.51303264811293,0.001893017444234219,0.17545996566933622,Cramér's V,,19.0,,,,**,0.0019
Total feeding volume on Day 3 (cc),beslenmetotali3.gun,continuous,1064,Kruskal-Wallis,12.061251908225852,0.0024039887209302427,0.011346427006797603,ε²,"{1: {'mean': 185.49317269076303, 'sd': 166.38119726054, 'median': 176.0, 'n': 747}, 2: {'mean': 223.54607142857142, 'sd': 159.55160529288355, 'median': 224.0, 'n': 280}, 3: {'mean': 220.4635135135135, 'sd': 139.2128339832418, 'median': 222.0, 'n': 37}}",,,,,**,0.0024
Total feeding volume on Day 2 (cc),beslenmetotali2.gün,continuous,1064,Kruskal-Wallis,11.2715712928906,0.0035678730450371347,0.010603547782587583,ε²,"{1: {'mean': 176.1488621151272, 'sd': 163.29868755119278, 'median': 160.0, 'n': 747}, 2: {'mean': 205.7503571428571, 'sd': 147.96403351803352, 'median': 198.0, 'n': 280}, 3: {'mean': 198.23243243243243, 'sd': 133.89475770597272, 'median': 208.0, 'n': 37}}",,,,,**,0.0036
Tube feeding on Day 3,eng_tube_d3,categorical,1064,Chi-square,11.150975690874063,0.0037896263791855314,0.1023730448456617,Cramér's V,,2.0,1.417624521072797,1.0187312415970269,1.9727080123668426,**,0.0038
Birth weight (grouped),dogum_agırlıgı_gruplu,categorical,1064,Chi-square,22.437687225326954,0.00416642703821089,0.10268410759095775,Cramér's V,,5.0,,,,**,0.0042
